,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
11,5805,Avalanche,AVAX,avalanche,751,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719.0,394488696.85095835,443835066.85095835,False,,12,,,,2024-07-14T22:31:00.000Z,26.273890154682135,255633585.2846014,3.7977,0.35000436,2.64971989,1.42859461,-13.1920395,-24.2363614,-25.3266546,10364752688.32578,0.4637,18805503221.36,,2024-07-14T22:31:00.000Z,,,,,,2024-07-14 19:33:54.598552
12,5994,Shiba Inu,SHIB,shiba-inu,844,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589270744614710.6,589519213218776.2,False,,13,,,,2024-07-14T22:31:00.000Z,1.751853574967639e-05,234702280.13672397,4.99,0.67890075,3.49822494,11.863577,-13.45577115,-30.735285,-19.58054646,10323160605.771235,0.4617,10327513411.89,,2024-07-14T22:31:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-07-14 19:33:54.598552
13,6636,Polkadot,DOT,polkadot-new,792,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1437953431.368154,1437953431.368154,True,,14,1468871261.4665897,9283229462.076727,,2024-07-14T22:32:00.000Z,6.319974871594885,144916717.7336216,31.7569,0.01017118,1.8242653,6.06834478,2.80740972,-9.20520157,-5.60751798,9087829552.770374,0.4058,9087829552.77,,2024-07-14T22:32:00.000Z,,,,,,2024-07-14 19:33:54.598552
14,1975,Chainlink,LINK,chainlink,1814,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",,608099970.4527867,1000000000.0,False,,15,,,,2024-07-14T22:31:00.000Z,13.454799734897703,278612823.1298998,35.9498,0.68428674,4.19086972,8.04288803,-8.35808313,-2.95063212,-0.94286099,8181863321.239455,0.3661,13454799734.9,,2024-07-14T22:31:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-07-14 19:33:54.598552
0,1,Bitcoin,BTC,bitcoin,11597,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19720325.0,19720325.0,False,,1,,,,2024-07-14T22:34:00.000Z,60997.00465477546,24003110934.963703,67.5101,0.27017831,4.28276968,7.95415579,-7.4674139,-7.8719704,-3.68537782,1202880755818.6848,53.7101,1280937097750.28,,2024-07-14T22:34:00.000Z,,,,,,2024-07-14 19:34:57.933378
1,1027,Ethereum,ETH,ethereum,9132,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120215726.06015156,120215726.06015156,True,,2,,,,2024-07-14T22:33:00.000Z,3250.913175873255,11108617420.736559,45.171,0.54113912,3.1141693,9.8779167,-6.14642604,7.6412114,4.46010795,390810887796.1166,17.4502,390810887796.12,,2024-07-14T22:33:00.000Z,,,,,,2024-07-14 19:34:57.933378
2,825,Tether USDt,USDT,tether,91528,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,112466925458.78345,116072162582.33752,True,,3,,,,2024-07-14T22:32:00.000Z,1.0003595979882347,43184733945.17816,39.487,0.00464503,0.0035705,0.05262948,0.06038676,-0.01015914,0.00376818,112507368338.92137,5.0238,116113901898.49,,2024-07-14T22:32:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-07-14 19:34:57.933378
3,1839,BNB,BNB,bnb,2192,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,147582260.27315888,147582260.27315888,False,,4,,,,2024-07-14T22:33:00.000Z,545.18725579123,1520805284.6437993,11.2354,0.62859671,3.15240517,9.80802559,-9.18692475,-6.98286068,-1.85888616,80459967481.79054,3.5928,80459967481.79,,2024-07-14T22:33:00.000Z,,,,,,2024-07-14 19:34:57.933378
4,5426,Solana,SOL,solana,701,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,464059273.9774874,580139631.2545595,True,,5,,,,2024-07-14T22:32:00.000Z,147.05019157127686,2114368357.6799731,124.9435,-0.22136589,5.47528447,9.4858134,3.1453484,-5.91418216,6.10033563,68240005138.81717,3.0471,85309643914.07,,2024-07-14T22:32:00.000Z,,,,,,2024-07-14 19:34:57.933378
5,3408,USDC,USDC,usd-coin,20950,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,33953608292.031208,33953608292.031208,False,,6,,,,2024-07-14T22:32:00.000Z,0.9999654721509057,4518849438.239085,62.2824,-0.00509006,-0.00457864,0.00838606,-0.03619311,0.00846746,-0.00677478,33952435946.967896,1.5161,33952435946.97,,2024-07-14T22:32:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-07-14 19:34:57.933378
